timestamp,signal_id,logical,symbol,price,signal,tf,reason,profile,mode,confidence,trend_context,vol_regime,htf_trend,playbook,setup_type,ema20,ema50,ema100,ema200,rsi14,atr,adx14,adx,vwap,rel_volume,vol_spike,strategy
2025-11-17T14:09:43.389441+05:30,8d382710-6564-4957-a32d-b08b650fb6a8,NIFTY_PE|EMA_TREND,NIFTY25N1826050PE,82.0,HOLD,1D,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=82.0, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",INTRADAY,CONTEXT,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.391467+05:30,6dc97be8-8f07-4bbb-b3b6-723082145f80,NIFTY_CE|EMA_TREND,NIFTY25N1826050CE,55.25,HOLD,1W,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=55.25, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",INTRADAY,CONTEXT,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.392918+05:30,a2b4d285-c9fe-41f2-a470-72932ed0a71d,NIFTY_PE|EMA_TREND,NIFTY25N1826050PE,82.0,HOLD,1W,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=82.0, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",INTRADAY,CONTEXT,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.487824+05:30,9f5abef1-4646-4eff-a181-e348de39a77a,EQ_HDFCBANK|EMA_TREND,HDFCBANK,996.6,HOLD,5m,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=996.6, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",INTRADAY,SCALP,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.490211+05:30,4a2499ce-8177-4005-9013-5158ef83acec,EQ_HDFCBANK|EMA_TREND,HDFCBANK,996.6,HOLD,15m,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=996.6, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",SWING,INTRADAY,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.491607+05:30,d111c6c9-5b73-4f03-92a9-1ecb90a169e4,EQ_HDFCBANK|EMA_TREND,HDFCBANK,996.6,HOLD,60m,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=996.6, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",SWING,SWING,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.493041+05:30,d8383991-2b6c-4408-abe2-491c3dd4a2a9,EQ_HDFCBANK|EMA_TREND,HDFCBANK,996.6,HOLD,1D,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=996.6, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",INTRADAY,CONTEXT,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.494910+05:30,890d47f4-7f3c-4753-8326-b3f1eb34444a,EQ_HDFCBANK|EMA_TREND,HDFCBANK,996.6,HOLD,1W,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=996.6, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",INTRADAY,CONTEXT,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.551538+05:30,57b3d7fc-cb0f-43b2-91bc-ffd43aead3fb,BANKNIFTY_CE|EMA_TREND,BANKNIFTY25NOV59000CE,437.95,HOLD,5m,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=437.95, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",INTRADAY,SCALP,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.557216+05:30,3961744f-2030-443b-a59e-9de1111a24ba,EQ_ICICIBANK|EMA_TREND,ICICIBANK,1379.3,HOLD,5m,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=1379.3, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",INTRADAY,SCALP,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.559828+05:30,b55560cf-5648-4508-aea4-e15b7e4c63aa,EQ_ICICIBANK|EMA_TREND,ICICIBANK,1379.3,HOLD,15m,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=1379.3, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",SWING,INTRADAY,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.561996+05:30,d9809068-6f7f-4816-8048-9ebca324254c,EQ_ICICIBANK|EMA_TREND,ICICIBANK,1379.3,HOLD,60m,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=1379.3, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",SWING,SWING,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.564617+05:30,e869601e-784e-4e93-aded-54fe12176413,EQ_ICICIBANK|EMA_TREND,ICICIBANK,1379.3,HOLD,1D,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=1379.3, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",INTRADAY,CONTEXT,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.566651+05:30,4e2670b0-5ab7-4983-b44c-96ee6ee9e1a2,EQ_ICICIBANK|EMA_TREND,ICICIBANK,1379.3,HOLD,1W,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=1379.3, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",INTRADAY,CONTEXT,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.612576+05:30,f56786e7-b43a-45e2-8596-d178cd79aa81,BANKNIFTY_PE|EMA_TREND,BANKNIFTY25NOV59000PE,403.05,HOLD,5m,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=403.05, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",INTRADAY,SCALP,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.614676+05:30,c2367d36-0a9c-4603-9f02-457815646fae,BANKNIFTY_CE|EMA_TREND,BANKNIFTY25NOV59000CE,437.95,HOLD,15m,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=437.95, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",SWING,INTRADAY,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.616867+05:30,27b1bb3b-4999-4f9b-80e0-a09d104c3990,BANKNIFTY_PE|EMA_TREND,BANKNIFTY25NOV59000PE,403.05,HOLD,15m,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=403.05, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",SWING,INTRADAY,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.619460+05:30,72cda394-6b1c-473b-becc-6eeefe233f82,BANKNIFTY_CE|EMA_TREND,BANKNIFTY25NOV59000CE,437.95,HOLD,60m,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=437.95, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",SWING,SWING,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.620788+05:30,6d6da30f-ee26-49bb-bed9-8334b75d47e8,EQ_SBIN|EMA_TREND,SBIN,972.9,HOLD,5m,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=972.9, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",INTRADAY,SCALP,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.622220+05:30,09f41e5f-0cc3-41a2-bbfd-2b86e3098f24,BANKNIFTY_PE|EMA_TREND,BANKNIFTY25NOV59000PE,403.05,HOLD,60m,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=403.05, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",SWING,SWING,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.623049+05:30,67f9ae9c-d08a-41c9-a469-f101c79eb021,EQ_SBIN|EMA_TREND,SBIN,972.9,HOLD,15m,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=972.9, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",SWING,INTRADAY,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.624911+05:30,d592774b-35d6-4247-b615-6e964ba93af0,BANKNIFTY_CE|EMA_TREND,BANKNIFTY25NOV59000CE,437.95,HOLD,1D,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=437.95, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",INTRADAY,CONTEXT,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
